y,rho
0,6.40810663965831
1.02040816326531,6.44642261966704
2.04081632653061,6.51189358135933
3.06122448979592,6.62843265769705
4.08163265306122,6.74853132407462
5.10204081632653,6.89093175351553
6.12244897959184,7.06202469054122
7.14285714285714,7.62037434560559
8.16326530612245,7.94713097349694
9.18367346938776,8.23600472580414
10.2040816326531,8.63996932044965
11.2244897959184,8.80714584519192
12.2448979591837,8.0985128267441
13.265306122449,3.21751892767698
14.2857142857143,0.205359706886448
15.3061224489796,0.0104461063595862
16.3265306122449,0.000723539509100758
17.3469387755102,0.00230196334393655
18.3673469387755,0.00334215201893804
19.3877551020408,0.00311139601144675
20.4081632653061,0.00272395664949696
21.4285714285714,0.00252954656307214
22.4489795918367,0.00280969831233006
23.469387755102,0.0040890243460873
24.4897959183673,0.0083204089952531
25.5102040816327,0.030921123684356
26.530612244898,0.282411705331232
27.5510204081633,3.37033866670537
28.5714285714286,7.91233727391512
29.5918367346939,8.46995796421628
30.6122448979592,8.22795457033907
31.6326530612245,7.84204662340323
32.6530612244898,7.47549432246154
33.6734693877551,7.03900840420046
34.6938775510204,6.6842542078883
35.7142857142857,6.4980958308078
36.734693877551,6.22712799456571
37.7551020408163,6.10203026922584
38.7755102040816,6.01928456447518
39.7959183673469,5.85709242240439
40.8163265306122,5.80509908695061
41.8367346938776,5.78910250548718
42.8571428571429,5.73552936948109
43.8775510204082,5.63910547326757
44.8979591836735,5.56688536728162
45.9183673469388,5.53236603450235
46.9387755102041,5.51002867543476
47.9591836734694,5.48839543698472
48.9795918367347,5.45086324549472
50,5.41557167961128
